item_idx,assoc_item_idx,rank,support_count,confidence,lift
7084,756,1,5,0.2,554.92
7084,6095,2,3,0.12,475.65
7084,2834,3,7,0.28,431.6
7084,4434,4,5,0.2,426.86
7084,5917,5,4,0.16,403.58
7084,1111,6,4,0.16,369.95
7084,2349,7,8,0.32,286.41
7084,4128,8,4,0.16,261.14
7084,5986,9,3,0.12,256.12
7084,3513,10,4,0.16,211.4
330,6934,1,5,0.3125,1445.1
330,604,2,4,0.25,1387.3
330,5837,3,3,0.1875,1300.59
330,1149,4,5,0.3125,788.24
604,5837,1,3,0.6,4161.9
604,330,2,4,0.8,1387.3
5837,604,1,3,0.75,4161.9
5837,330,2,3,0.75,1300.59
6934,330,1,5,0.8333,1445.1
6934,1149,2,3,0.5,1261.18
4074,432,1,4,1.0,3468.25
2251,4133,1,3,0.0214,74.32
2251,5864,2,3,0.0214,28.31
2251,5923,3,7,0.05,15.95
2251,4657,4,3,0.0214,11.66
2251,1291,5,10,0.0714,8.19
2251,289,6,3,0.0214,5.04
2251,1348,7,6,0.0429,3.32
2251,4582,8,3,0.0214,2.56
2251,4816,9,3,0.0214,2.48
2251,4283,10,3,0.0214,1.95
5923,2251,1,7,0.0805,15.95
5923,1291,2,9,0.1034,11.86
5923,3001,3,3,0.0345,8.54
5923,148,4,3,0.0345,8.39
5923,7152,5,3,0.0345,5.63
4471,1124,1,3,0.0667,20.78
5091,5841,1,4,0.0727,40.36
5091,3124,2,3,0.0545,17.6
1563,896,1,4,0.0727,91.72
1563,2826,2,9,0.1636,68.79
1563,4559,3,8,0.1455,24.31
1563,2670,4,12,0.2182,13.48
1563,5962,5,3,0.0545,10.16
1563,1785,6,3,0.0545,5.98
1563,5161,7,4,0.0727,3.17
5962,6232,1,48,0.3221,40.63
5962,2501,2,6,0.0403,19.26
5962,5425,3,8,0.0537,19.1
5962,5117,4,6,0.0403,15.74
5962,1563,5,3,0.0201,10.16
5962,5212,6,3,0.0201,5.27
5962,843,7,6,0.0403,3.76
5962,1785,8,5,0.0336,3.68
5962,5066,9,4,0.0268,1.55
5962,2670,10,3,0.0201,1.24
3990,5905,1,13,0.2321,89.46
3990,244,2,3,0.0536,31.63
